nom,effectifs
ELISEE CHATIN,308
JARDIN DE VILLE,115
ANATOLE FRANCE,194
LAC,148
SIDI-BRAHIM,218
AMPERE,277
TREMBLES,106
CHRISTOPHE TURC,258
LEON JOUHAUX,202
JEAN RACINE,192
GENETS,171
HOUILLE BLANCHE,359
VERDERET,201
LIBERATION,118
BUTTES,116
ALPHONSE DAUDET,208
FERDINAND BUISSON,269
ANTHOARD,401
JULES FERRY,247
LUCIE AUBRAC,475
CLEMENCEAU,263
BAJATIERE,153
MALHERBE,261
MENON (C.GEMOND),158
BIZANET,207
JEAN MACE,93
PORTE SAINT LAURENT,56
PAUL PAINLEVE,258
NICOLAS CHORIER,184
BEAUVERT,274
JOSEPH VALLIER,153
JEAN JAURES,376
GRAND CHATELET,144
FONTAINE,123
PAUL BERT,219
