rank,country,gini_index_coefficient_distribution_of_family_income,date_of_information
1,South Africa,63,2014 est.
2,Namibia,59.1,2015 est.
3,Colombia,54.8,2022 est.
4,Eswatini,54.6,2016 est.
5,Hong Kong,53.9,2016 est.
6,Botswana,53.3,2015 est.
7,Brazil,52,2022 est.
8,Zambia,51.5,2022 est.
9,Angola,51.3,2018 est.
10,Saint Lucia,51.2,2016 est.
11,Mozambique,50.5,2019 est.
12,Zimbabwe,50.3,2020 est.
13,Panama,48.9,2023 est.
14,Guatemala,48.3,2014 est.
15,Honduras,48.2,2019 est.
16,Costa Rica,47.2,2022 est.
17,Nicaragua,46.2,2014 est.
18,Singapore,45.9,2017 est.
19,Ecuador,45.5,2022 est.
20,Comoros,45.3,2014 est.
21,Paraguay,45.1,2022 est.
22,Lesotho,44.9,2017 est.
23,"Congo, Democratic Republic of the",44.7,2020 est.
24,Turkey (Turkiye),44.4,2021 est.
25,South Sudan,44.1,2016 est.
26,Grenada,43.8,2018 est.
27,Rwanda,43.7,2016 est.
28,Mexico,43.5,2022 est.
29,Ghana,43.5,2016 est.
30,Chile,43,2022 est.
31,Central African Republic,43,2021 est.
32,Uganda,42.7,2019 est.
33,Cabo Verde,42.4,2015 est.
34,Cameroon,42.2,2021 est.
35,Djibouti,41.6,2017 est.
36,Bolivia,40.9,2021 est.
37,Philippines,40.7,2021 est.
38,Sao Tome and Principe,40.7,2017 est.
39,Malaysia,40.7,2021 est.
40,Argentina,40.7,2022 est.
41,Uruguay,40.6,2022 est.
42,Tanzania,40.5,2018 est.
43,Peru,40.3,2022 est.
44,Jamaica,40.2,2021 est.
45,United States,39.8,2021 est.
46,Suriname,39.2,2022 est.
47,Bulgaria,39,2021 est.
48,El Salvador,38.8,2022 est.
49,Laos,38.8,2018 est.
50,"Gambia, The",38.8,2020 est.
51,Kenya,38.7,2021 est.
52,Malawi,38.5,2019 est.
53,Indonesia,38.3,2023 est.
54,Gabon,38,2017 est.
55,Togo,37.9,2021 est.
56,Israel,37.9,2021 est.
57,Sri Lanka,37.7,2019 est.
58,Burundi,37.5,2020 est.
59,Chad,37.4,2022 est.
60,Burkina Faso,37.4,2021 est.
61,China,37.1,2020 est.
62,Dominican Republic,37,2022 est.
63,Somalia,36.8,2017 est.
64,Mauritius,36.8,2017 est.
65,Yemen,36.7,2014 est.
66,Lithuania,36.7,2021 est.
67,Senegal,36.2,2021 est.
68,Vietnam,36.1,2022 est.
69,Russia,36,2020 est.
70,Falkland Islands (Islas Malvinas),36,2015 est.
71,Sierra Leone,35.7,2018 est.
72,Mali,35.7,2021 est.
73,Marshall Islands,35.5,2019 est.
74,Cote d'Ivoire,35.3,2021 est.
75,Liberia,35.3,2016 est.
76,Nigeria,35.1,2018 est.
77,Ethiopia,35,2015 est.
78,Thailand,34.9,2021 est.
79,Iran,34.8,2022 est.
80,Italy,34.8,2021 est.
81,Portugal,34.6,2021 est.
82,Benin,34.4,2021 est.
83,Montenegro,34.3,2021 est.
84,Australia,34.3,2018 est.
85,Latvia,34.3,2021 est.
86,Georgia,34.2,2021 est.
87,Sudan,34.2,2014 est.
88,Tajikistan,34,2015 est.
89,Romania,33.9,2021 est.
90,Greenland,33.9,2015 est.
91,Spain,33.9,2021 est.
92,Tunisia,33.7,2021 est.
93,West Bank,33.7,2016 est.
94,Switzerland,33.7,2020 est.
95,Gaza Strip,33.7,2016 est.
96,Taiwan,33.6,2014 est.
97,North Macedonia,33.5,2019 est.
98,Guinea-Bissau,33.4,2021 est.
99,Bangladesh,33.4,2022 est.
100,Serbia,33.1,2021 est.
101,Greece,32.9,2021 est.
102,Niger,32.9,2021 est.
103,India,32.8,2021 est.
104,Luxembourg,32.7,2021 est.
105,United Kingdom,32.4,2021 est.
106,Vanuatu,32.3,2019 est.
107,Seychelles,32.1,2018 est.
108,Mauritania,32,2019 est.
109,Egypt,31.9,2019 est.
110,Estonia,31.8,2021 est.
111,Germany,31.7,2019 est.
112,Canada,31.7,2019 est.
113,France,31.5,2021 est.
114,Mongolia,31.4,2022 est.
115,Malta,31.4,2020 est.
116,"Korea, South",31.4,2016 est.
117,Cyprus,31.3,2021 est.
118,Uzbekistan,31.2,2022 est.
119,Fiji,30.7,2019 est.
120,Burma,30.7,2017 est.
121,Austria,30.7,2021 est.
122,Ireland,30.1,2021 est.
123,Sweden,29.8,2021 est.
124,Pakistan,29.6,2018 est.
125,Guinea,29.6,2018 est.
126,Albania,29.4,2020 est.
127,Maldives,29.3,2019 est.
128,Hungary,29.2,2021 est.
129,Kazakhstan,29.2,2021 est.
130,Kosovo,29,2017 est.
131,Croatia,28.9,2021 est.
132,Kyrgyzstan,28.8,2021 est.
133,Timor-Leste,28.7,2014 est.
134,Poland,28.5,2021 est.
135,Bhutan,28.5,2022 est.
136,Denmark,28.3,2021 est.
137,Armenia,27.9,2022 est.
138,Kiribati,27.8,2019 est.
139,Finland,27.7,2021 est.
140,Norway,27.7,2019 est.
141,Tonga,27.1,2021 est.
142,Belgium,26.6,2021 est.
143,Syria,26.6,2022 est.
144,Czechia,26.2,2021 est.
145,Iceland,26.1,2017 est.
146,United Arab Emirates,26,2018 est.
147,Moldova,25.7,2021 est.
148,Netherlands,25.7,2021 est.
149,Ukraine,25.6,2020 est.
150,Belarus,24.4,2020 est.
151,Slovenia,24.3,2021 est.
152,Slovakia,24.1,2021 est.
153,Jersey,0.3,2014 est.
