rank,country,railways,date_of_information
1,United States,293564.2,2014 est.
2,China,150000,2021 est.
3,Russia,85494,2019 est.
4,India,65554,2014 est.
5,Canada,49422,2021 est.
6,Germany,39379,2020 est.
7,Australia,32606,2022 est.
8,South Africa,30400,2021 est.
9,Brazil,29849.9,2014 est.
10,France,27860,2020 est.
11,Japan,27311,2015 est.
12,Mexico,23389,2017 est.
13,Ukraine,21733,2014 est.
14,Poland,19461,2020 est.
15,Italy,18475,2020 est.
16,Argentina,17866,2018 est.
17,Kazakhstan,16636,2021 est.
18,United Kingdom,16390,2020 est.
19,Spain,15489,2020 est.
20,Pakistan,11881,2021 est.
21,Turkey (Turkiye),11497,2018 est.
22,Sweden,10910,2020 est.
23,Romania,10628,2020 est.
24,Czechia,9548,2020 est.
25,Iran,8483.5,2014 est.
26,Cuba,8367,2017 est.
27,Indonesia,8159,2014 est.
28,Hungary,7687,2020 est.
29,"Korea, North",7435,2014 est.
30,Chile,7281.5,2014 est.
31,Sudan,7251,2014 est.
32,Austria,6123,2022 est.
33,Finland,5918,2020 est.
34,Belarus,5528,2014 est.
35,Saudi Arabia,5410,2016 est.
36,Switzerland,5296,2020 est.
37,Turkmenistan,5113,2017 est.
38,Egypt,5085,2014 est.
39,Burma,5031,2008 est.
40,Mozambique,4787,2014 est.
41,Uzbekistan,4642,2018 est.
42,New Zealand,4128,2018 est.
43,Thailand,4127,2017 est.
44,Tanzania,4097,2022 est.
45,Bulgaria,4029,2020 est.
46,Algeria,4020,2019 est.
47,"Congo, Democratic Republic of the",4007,2014 est.
48,"Korea, South",3979,2016 est.
49,Bolivia,3960,2019 est.
50,Norway,3848,2020 est.
51,Kenya,3819,2018 est.
52,Nigeria,3798,2014 est.
53,Slovakia,3627,2020 est.
54,Belgium,3602,2020 est.
55,Zimbabwe,3427,2014 est.
56,Serbia,3333,2020 est.
57,Zambia,3126,2014 est.
58,Netherlands,3055,2020 est.
59,Azerbaijan,2944.3,2017 est.
60,Angola,2761,2022 est.
61,Denmark,2682,2020 est.
62,Namibia,2628,2014 est.
63,Croatia,2617,2020 est.
64,Vietnam,2600,2014 est.
65,Portugal,2526,2020 est.
66,Bangladesh,2460,2014 est.
67,Greece,2345,2020 est.
68,Iraq,2272,2014 est.
69,Latvia,2216,2020 est.
70,Tunisia,2173,2014 est.
71,Colombia,2141,2019 est.
72,Morocco,2067,2014 est.
73,Syria,2052,2014 est.
74,Lithuania,1911,2020 est.
75,Peru,1854.4,2017 est.
76,Malaysia,1851,2014 est.
77,Mongolia,1815,2017 est.
78,Ireland,1688,2020 est.
79,Uruguay,1673,2016 est.
80,Taiwan,1613.1,2018 est.
81,Sri Lanka,1562,2016 est.
82,Israel,1497,2021 est.
83,Estonia,1441,2020 est.
84,Georgia,1363,2014 est.
85,Uganda,1244,2014 est.
86,Slovenia,1207,2020 est.
87,Moldova,1171,2014 est.
88,Guinea,1086,2017 est.
89,Cameroon,987,2014 est.
90,Ecuador,965,2022 est.
91,Bosnia and Herzegovina,965,2014 est.
92,Ghana,947,2022 est.
93,Senegal,906,2017 est.
94,Botswana,888,2014 est.
95,Madagascar,836,2018 est.
96,Guatemala,800,2018 est.
97,Malawi,767,2014 est.
98,Mauritania,728,2014 est.
99,North Macedonia,699,2020 est.
100,Honduras,699,2014 est.
101,Armenia,686,2017 est.
102,Tajikistan,680,2014 est.
103,Cote d'Ivoire,660,2008 est.
104,Ethiopia,659,2017 est.
105,Gabon,649,2014 est.
106,Cambodia,642,2014 est.
107,Burkina Faso,622,2014 est.
108,Fiji,597,2008 est.
109,Mali,593,2014 est.
110,Togo,568,2014 est.
111,"Congo, Republic of the",510,2014 est.
112,Jordan,509,2020 est.
113,Dominican Republic,496,2014 est.
114,Venezuela,447,2014 est.
115,Benin,438,2014 est.
116,Kosovo,437,2020 est.
117,Liberia,429,2008 est.
118,Kyrgyzstan,424,2022 est.
119,Albania,424,2017 est.
120,Laos,422,2023 est.
121,Lebanon,401,2017 est.
122,Eritrea,306,2018 est.
123,Eswatini,301,2014 est.
124,Costa Rica,278,2014 est.
125,Luxembourg,271,2020 est.
126,Montenegro,250,2017 est.
127,South Sudan,248,2018 est.
128,Djibouti,97,2017 est.
129,Panama,77,2014 est.
130,Philippines,77,2017 est.
131,Isle of Man,63,2008 est.
132,Nepal,59,2018 est.
133,Saint Kitts and Nevis,50,2008 est.
134,Paraguay,30,2014 est.
135,Christmas Island,18,2017 est.
136,El Salvador,12.5,2014 est.
137,Liechtenstein,9,2018 est.
