rank,country,roadways,date_of_information
1,United States,6586610,
2,India,6371847,2021 est.
3,China,5200000,2020 est.
4,Brazil,2000000,
5,Russia,1283387,
6,Japan,1218772,
7,France,1090059,2022 est.
8,Canada,1042300,
9,Australia,873573,
10,Germany,830000,
11,South Africa,750000,
12,Mexico,704884,
13,Indonesia,496607,
14,Poland,427580,2022 est.
15,United Kingdom,416461,2022 est.
16,Bangladesh,369105,
17,Pakistan,264175,
18,Argentina,240000,
19,Italy,228863,2021 est.
20,Uzbekistan,225500,2013 est.
21,Iran,223485,
22,Saudi Arabia,221372,
23,Hungary,216443,2022 est.
24,Philippines,216387,
25,Colombia,206102,2022 est.
26,Sweden,197964,2022 est.
27,Vietnam,195468,
28,Nigeria,195000,
29,Thailand,180053,2006 est.
30,Ethiopia,180000,2023 est.
31,Ukraine,169694,
32,Kenya,161451,
33,Burma,157000,2013 est.
34,"Congo, Democratic Republic of the",152373,
35,Spain,150110,2021 est.
36,Tanzania,145203,
37,Malaysia,144403,
38,Mali,139107,2014 est.
39,Netherlands,139027,2022 est.
40,Czechia,129418,2022 est.
41,Austria,126233,2022 est.
42,Belgium,118414,
43,Greece,117000,2018 est.
44,Sri Lanka,114093,
45,Mongolia,113200,
46,Algeria,112696,2020 est.
47,Finland,108637,2019 est.
48,Ireland,102227,2022 est.
49,"Korea, South",100428,
50,Zimbabwe,97267,
51,Venezuela,96189,2014 est.
52,Kazakhstan,96167,
53,Norway,95120,2022 est.
54,New Zealand,94000,
55,Bolivia,90568,
56,South Sudan,90200,
57,Estonia,89382,2022 est.
58,Belarus,86600,2017 est.
59,Romania,85387,2022 est.
60,Lithuania,83821,2022 est.
61,Switzerland,83131,2022 est.
62,Cote d'Ivoire,81996,
63,Paraguay,78811,
64,Chile,77801,2016 est.
65,Uruguay,77732,
66,Cameroon,77589,
67,Angola,76000,
68,Denmark,73591,2022 est.
69,Yemen,71300,
70,Peru,70000,2021 est.
71,Syria,69873,
72,Turkey (Turkiye),68526,2023 est.
73,Zambia,67671,
74,Ghana,65725,
75,Egypt,65050,
76,Nepal,64500,2020 est.
77,Cambodia,61810,
78,Oman,60230,
79,Cuba,60000,2015 est.
80,Laos,59647,
81,Iraq,58592,2021 est.
82,Turkmenistan,58592,
83,Latvia,57972,2022 est.
84,Morocco,57300,2018 est.
85,Namibia,48875,
86,Slovakia,45106,2022 est.
87,Serbia,45022,2022 est.
88,Guinea,44301,
89,Ecuador,43950,
90,Taiwan,43206,
91,Georgia,40044,2021 est.
92,Chad,40000,2018 est.
93,Slovenia,38125,2022 est.
94,Afghanistan,34903,
95,Libya,34000,2021 est.
96,Kyrgyzstan,34000,2022 est.
97,Tunisia,32332,
98,Botswana,31747,
99,Madagascar,31640,2017 est.
100,Mozambique,30562,
101,Sudan,30000,
102,Tajikistan,30000,2018 est.
103,Croatia,26958,2022 est.
104,Puerto Rico,26862,2012 est.
105,Jamaica,25595,2017 est.
106,"Korea, North",25554,
107,Azerbaijan,24981,2013 est.
108,Papua New Guinea,24862,
109,Nicaragua,24033,
110,Central African Republic,24000,
111,"Congo, Republic of the",23324,
112,Lebanon,21705,2017 est.
113,Uganda,20544,
114,Israel,20391,
115,Dominican Republic,19705,
116,Bulgaria,19117,2022 est.
117,Niger,18949,
118,Guatemala,17440,
119,Senegal,16665,
120,Eritrea,16000,2018 est.
121,Benin,16000,2018 est.
122,Malawi,15451,
123,Burkina Faso,15304,2017 est.
124,North Macedonia,15170,2022 est.
125,Somalia,15000,2013 est.
126,Honduras,14742,
127,Gabon,14300,
128,Cyprus,13027,2022 est.
129,Iceland,12905,2021 est.
130,Mauritania,12253,
131,Bhutan,12205,2017 est.
132,Burundi,12000,
133,Sierra Leone,11701,
134,Portugal,11217,2022 est.
135,Liberia,10600,
136,Togo,9951,
137,Montenegro,9825,2022 est.
138,Moldova,9488,2022 est.
139,El Salvador,9012,
140,Bosnia and Herzegovina,8619,2022 est.
141,Rwanda,7797,
142,Armenia,7700,2019 est.
143,Fiji,7500,2023 est.
144,Jordan,7203,
145,Qatar,7039,2016 est.
146,Lesotho,6906,
147,Timor-Leste,6040,
148,Kuwait,5749,201 est.
149,New Caledonia,5622,2006 est.
150,Costa Rica,5035,2017 est.
151,West Bank,4686,2010 est.
152,Eswatini,4594,
153,Guinea-Bissau,4400,
154,Suriname,4304,
155,Bahrain,4122,
156,United Arab Emirates,4080,
157,Guyana,3995,
158,Haiti,3875,2022 est.
159,Albania,3581,2022 est.
160,Singapore,3500,
161,Belize,3281,
162,"Gambia, The",2977,
163,Brunei,2976,
164,Vanuatu,2958,2023 est.
165,Djibouti,2893,2013 est.
166,Equatorial Guinea,2880,2017 est.
167,Malta,2855,2021 est.
168,Luxembourg,2746,2022 est.
169,"Bahamas, The",2700,
170,French Polynesia,2590,
171,Mauritius,2428,
172,Kosovo,2248,2022 est.
173,Hong Kong,2193,
174,Marshall Islands,2028,
175,Barbados,1700,
176,Dominica,1512,
177,Solomon Islands,1390,
178,Cabo Verde,1350,
179,Sao Tome and Principe,1300,
180,Virgin Islands,1260,2008 est.
181,Saint Lucia,1210,
182,Antigua and Barbuda,1170,
183,Samoa,1150,2018 est.
184,Grenada,1127,
185,Isle of Man,1107,2022 est.
186,Guam,1045,2008 est.
187,Aruba,1000,2010 est.
188,Faroe Islands,960,
189,Comoros,849,
190,Cayman Islands,785,
191,Tonga,680,
192,Kiribati,670,2017 est.
193,Jersey,576,2010 est.
194,Curacao,550,
195,Northern Mariana Islands,536,2008 est.
196,Seychelles,526,
197,Bermuda,447,
198,Falkland Islands (Islas Malvinas),440,
199,Macau,428,
200,Liechtenstein,420,2022 est.
201,"Micronesia, Federated States of",388,2022 est.
202,Saint Kitts and Nevis,383,
203,Andorra,320,2019 est.
204,Cook Islands,295,
205,San Marino,292,
206,Guernsey,260,2017 est.
207,American Samoa,241,2016 est.
208,Niue,234,
209,British Virgin Islands,200,
210,"Saint Helena, Ascension, and Tristan da Cunha",198,
211,Anguilla,175,
212,Christmas Island,142,
213,Turks and Caicos Islands,121,
214,Palau,121,
215,Saint Pierre and Miquelon,117,
216,Maldives,93,
217,Norfolk Island,80,
218,Sint Maarten,53,
219,Svalbard,40,2020 est.
220,Saint Barthelemy,40,
221,Nauru,30,
222,Gibraltar,29,
223,Cocos (Keeling) Islands,22,
224,Tuvalu,16,2022 est.
225,Tokelau,10,2019 est.
